Date,Open,High,Low,Close,Volume
5-Jan-17,226.42,227.48,221.95,226.75,5911695
4-Jan-17,214.75,228.00,214.31,226.99,11213471
3-Jan-17,214.86,220.33,210.96,216.99,5923254
30-Dec-16,216.30,217.50,211.68,213.69,4642620
29-Dec-16,218.56,219.20,214.12,214.68,4044968
28-Dec-16,221.53,223.80,217.20,219.74,3782456
27-Dec-16,214.88,222.25,214.42,219.53,5915732
23-Dec-16,208.00,213.45,207.71,213.34,4670464
22-Dec-16,208.22,209.99,206.50,208.45,3111108
21-Dec-16,208.45,212.23,207.41,207.70,5207622
20-Dec-16,203.05,209.00,202.50,208.79,4689071
19-Dec-16,202.49,204.45,199.84,202.73,3488071
16-Dec-16,198.08,202.59,197.60,202.49,3796889
15-Dec-16,198.41,200.74,197.39,197.58,3219567
14-Dec-16,198.74,203.00,196.76,198.69,4150927
13-Dec-16,193.18,201.28,193.00,198.15,6823884
12-Dec-16,192.80,194.42,191.04,192.43,2438876
9-Dec-16,190.87,193.84,190.81,192.18,2722505
8-Dec-16,192.05,192.50,189.54,192.29,3194148
